Key,Id,English(en),Kazakh (Kazakhstan)(kk-KZ),Russian (Russia)(ru-RU),Uzbek(uz)
"choose_lang",41117467488256,"Choose language","Тілді таңдаңыз","Выберите язык","Tilni tanlang"
"continue",41219682676736,"Continue","Жалғастыру","Продолжить","Davom etish"
"who_will_be_hero",41269360013312,"Who will be the hero of the stories?","Ертегілердің кейіпкері кім болады?","Кто будет героем сказок?","Ertaklar qahramoni kim bo'ladi?"
"boy",41359734681600,"Boy","Ұл","Мальчик","Bola"
"girl",41379049451520,"Girl","Қыз","Девочка","Qiz"
"child_name",41406610223104,"Child name","Баланың аты","Имя ребёнка","Bola ismi"
"prepare_library",41470569164800,"Preparing library","Кітапхана дайындалуда","Подготавливаем библиотеку","Kutubxona tayyorlanmoqda"
"personalize_text",41651758903296,"Personalizing text...","Мәтін бейімделуде...","Персонализируем текст...","Matn moslashtirilmoqda..."
"download_tale",41728770519040,"Loading story","Ертегі жүктелуде","Загрузка сказки","Ertak yuklanmoqda"
"unlock_all_books",41797116702720,"Unlock all books","Кітаптарды ашу","Разблокировать книги","Kitoblarni ochish"
"read",41870852567040,"Read","Оқу","Читать","O'qish"
"narrate",41910010589184,"Voice","Дыбыстау","Озвучить","Ovoz berish"
"listen",41935625203712,"Listen","Тыңдау","Слушать","Tinglash"
"try_3_days",41997755428864,"Try 3 days free","3 күн тегін байқап көріңіз","Попробовать бесплатно","3 kun bepul sinab ko'ring"
"usage_rules",42080202862592,"Terms of use","Пайдалану ережелері","Правила использования","Foydalanish qoidalari"
"restore_purchases",42146384785408,"Restore purchases","Сатып алуларды","Восстановить покупки","Xaridlarni tiklash"
"privacy_policy",42204375232512,"Privacy policy","Құпиялылық саясаты","Политика конфиденциальности","Maxfiylik siyosati"
"monthly",42278228537344,"{value} per month","{value} айына","{value} в месяц","{value} oyiga"
"yearly",42375049850880,"{value} per year","{value} жылына","{value} в год","{value} yiliga"
"narrate_book",42420583215104,"Voice the book","Кітапты дыбыстау","Озвучить книгу","Kitobni ovozlash"
"new_record",42479991336960,"New recording","Жаңа жазба","Новая запись","Yangi yozuv"
"name_of_dictor",42528615903232,"Narrator name","Диктор аты","Имя диктора","Diktor ismi"
"drafts",42571360055296,"Drafts","Нобайлар","Черновики","Qoralamalar"
"start",42594013491200,"Start","Бастау","Начать","Boshlash"
"narrate_begin",42617132494848,"Recording in progress...","Дыбыстау жүріп жатыр...","Идёт озвучка...","Ovoz yozilmoqda..."
"payment_screen",256430771482624,"Get access to all stories!","Барлық ертегілерге қол жеткізіңіз!","Получите доступ ко всем сказкам!","Barcha ertaklarga kirish imkoniga ega bo'ling!"
"recording",258142592774144,"Recording in progress...","Дыбыстау жүріп жатыр...","Идёт озвучка...","Ovoz yozilmoqda..."
"solve",261887204470784,"Solve the example","Мысалды шешіңіз","Решите пример","Misolni yeching"
"secret_code",262080117288960,"Secret code","Құпия код","cекретный код","Maxfiy kod"
"payment_stories",8261826526261248,"Instructive stories","Ғибратты әңгімелер","Поучительные истории","Ibratli hikoyalar"
"payment_new_tale",8261898911559680,"A new story every month","Әр ай сайын жаңа ертегі","Новая сказка каждый месяц","Har oy yangi ertak"
"pay_trial",8261951134838784,"3 days free, then","3 күн тегін, кейін","3 дня бесплатно, потом","3 kun bepul, keyin"
"toc_text
",10851152128847872,"Content","Мазмұны","Содержание","Mazmuni"
"text_size

",10854463418609664,"Text size","Мәтін өлшемі","Размер текста","Matn o'lchami"
"choose_dict
",11957772317569024,"Choose the narrator's voice","Диктордың дауысын таңдаңыз","Выберите голос диктора","Diktor ovozini tanlang"
"man_dict
",11957940530130944,"Male narrator","Ер диктор","Диктор муж.","Erkak diktor"
"female_dict
",11958034037944320,"Female narrator","Әйел диктор","Диктор жен.","Ayol diktor"
"parent_dict
",11958115315167232,"Parent's voice","Ата-ананың дауысы","Голос родителя","Ota-ona ovozi"
"previous_discotun
",11964739819876352,"<s>{value} per year</s>","<s>Жылына {value}</s>","<s>{value} в год</s>","<s>Yiliga {value}</s>"